"e","b_iqs","stable",
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1000,
1.5,1,1,
1.5,1,1000,
1.5,1,1000,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1000,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1000,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,
1.5,1,1000,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1,
1.5,1,1000,

