"e","b_iqs","stable",
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1000,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,
0.5,1,1,

