"epsilon","bools","stable","falsePos","A","B","stableA","controlableA","stabEig","unStabEig","eig",
0.5,100,100,0,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
1,100,100,0,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
1.5,100,97,3,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
2,100,99,1,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
2.2,100,98,2,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
2.4,100,95,5,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
2.6,100,98,2,"[0.0203050395305004 -0.796932222375376 0.00256582640643055;0.81272864653043 -0.218290494547291 -0.136557656231506;0.257847877304636 -0.890766769552685 0.995120699024378]","[0.623205161990646 -0.72490681046587;-0.0286966602039647 -0.219990171109429;0.788895511134786 0.85471244999625]",0,1,2,1,-0.13764-0.77473i        -0.13764+0.77473i                1.0724+0i,
0.5,100,28,72,"[0.834987664832234 -0.313424219517309 0.461170723011414;0.427148023188632 0.872054653379539 0.292954864851628;0.23667476724388 -0.750451918679015 0.66630397133859]","[-0.203435543562449 -0.355079205275481;0.499644418721272 0.10452323371671;0.670441020956261 0.958258264867784]",0,1,1,2,0.35309+0i          1.0101-0.61356i          1.0101+0.61356i,
1,100,18,82,"[0.834987664832234 -0.313424219517309 0.461170723011414;0.427148023188632 0.872054653379539 0.292954864851628;0.23667476724388 -0.750451918679015 0.66630397133859]","[-0.203435543562449 -0.355079205275481;0.499644418721272 0.10452323371671;0.670441020956261 0.958258264867784]",0,1,1,2,0.35309+0i          1.0101-0.61356i          1.0101+0.61356i,
1.5,100,14,86,"[0.834987664832234 -0.313424219517309 0.461170723011414;0.427148023188632 0.872054653379539 0.292954864851628;0.23667476724388 -0.750451918679015 0.66630397133859]","[-0.203435543562449 -0.355079205275481;0.499644418721272 0.10452323371671;0.670441020956261 0.958258264867784]",0,1,1,2,0.35309+0i          1.0101-0.61356i          1.0101+0.61356i,
2,100,5,95,"[0.834987664832234 -0.313424219517309 0.461170723011414;0.427148023188632 0.872054653379539 0.292954864851628;0.23667476724388 -0.750451918679015 0.66630397133859]","[-0.203435543562449 -0.355079205275481;0.499644418721272 0.10452323371671;0.670441020956261 0.958258264867784]",0,1,1,2,0.35309+0i          1.0101-0.61356i          1.0101+0.61356i,
