-0.13764-0.77473i,-0.13764+0.77473i,1.0724+0i
-1.2787+0i,0.32031-0.17659i,0.32031+0.17659i
1.2539,0.47158,0.17884
1.0667,-1.3463,-0.4563
0.97941,-0.036935,-1.3635
0.53569-0.54453i,0.53569+0.54453i,-1.2011+0i
-1.0234,-0.33702,1.1628
-1.0436,0.45755,0.93489
0.70704,-1.04,-0.1975
1.132+0i,-0.59547-0.71187i,-0.59547+0.71187i
1.2693,-1.3723,-0.039829
0.35309+0i,1.0101-0.61356i,1.0101+0.61356i
-0.38894-0.98223i,-0.38894+0.98223i,0.53781+0i
-1.0717+0i,0.010751-0.15693i,0.010751+0.15693i
0.86816,-1.0563,-0.74249
0.83924+0i,-0.96228-0.30661i,-0.96228+0.30661i
1.3774+0i,-0.13153-0.42159i,-0.13153+0.42159i
0.94496-0.65204i,0.94496+0.65204i,-0.19781+0i
-1.1309,0.028704,0.27974
-0.6511,0.66089,1.234
0.020434-0.49575i,0.020434+0.49575i,-1.0909+0i
-0.374-0.37331i,-0.374+0.37331i,-1.3641+0i
0.30589+0i,0.60925-0.88601i,0.60925+0.88601i
-1.002+0i,0.90708-0.35408i,0.90708+0.35408i
1.1766+0i,0.15087-0.18919i,0.15087+0.18919i
1.4324+0i,-0.13703-0.40191i,-0.13703+0.40191i
1.7683,-0.59031,0.44036
0.87974-0.75008i,0.87974+0.75008i,0.45181+0i
-1.1,0.38674,1.1807
-1.192+0i,0.088994-0.54797i,0.088994+0.54797i
-1.0554+0i,0.87769-0.030558i,0.87769+0.030558i
1.0215+0i,0.50464-0.49781i,0.50464+0.49781i
-1.4445+0i,0.42371-0.55114i,0.42371+0.55114i
1.2624+0i,-0.86798-0.6i,-0.86798+0.6i
0.41659,-0.48542,-1.043
0.55804+0i,-0.79334-0.80531i,-0.79334+0.80531i
-1.5528,0.50259,-0.22721
0.99387,-1.1332,-0.31958
-0.51515+0i,-1.0939-0.77144i,-1.0939+0.77144i
0.15101-0.59762i,0.15101+0.59762i,-1.1764+0i
1.6518+0i,-0.1441-0.061965i,-0.1441+0.061965i
-1.6532+0i,0.23422-0.27537i,0.23422+0.27537i
1.1228+0i,0.17158-0.21185i,0.17158+0.21185i
0.96,-0.046708,-1.086
-0.94777-0.76287i,-0.94777+0.76287i,0.58682+0i
0.26261-1.0067i,0.26261+1.0067i,0.22497+0i
0.078001-0.43292i,0.078001+0.43292i,1.0136+0i
1.236,0.41899,-0.99725
1.5745+0i,-0.39432-0.69501i,-0.39432+0.69501i
-0.80834,-0.01462,1.761
-1.3672,-0.6595,0.56809
-0.0070417-0.084595i,-0.0070417+0.084595i,1.0107+0i
1.2482,-0.89121,-0.061429
-0.86222-0.27953i,-0.86222+0.27953i,0.95501+0i
-0.73272+0i,0.31976-0.32162i,0.31976+0.32162i
-0.081145+0i,0.81912-0.25892i,0.81912+0.25892i
-0.067392-0.6922i,-0.067392+0.6922i,0.40681+0i
-0.90108,-0.077502,0.74052
0.65834,-0.023042,-0.80369
-0.85863,0.97419,0.59402
-0.52082+0i,0.69177-0.27124i,0.69177+0.27124i
-0.86851+0i,0.51931-0.31843i,0.51931+0.31843i
0.79439+0i,-0.38379-0.80398i,-0.38379+0.80398i
-0.30254+0i,-0.0096082-0.32869i,-0.0096082+0.32869i
-0.21005-0.7129i,-0.21005+0.7129i,0.77599+0i
-0.30972,0.72699,0.34877
0.56979,0.11576,-0.3905
-0.67763-0.57065i,-0.67763+0.57065i,-0.090384+0i
0.88732,0.27677,-0.89006
-0.60036+0i,0.58926-0.5035i,0.58926+0.5035i
-0.39205,0.24924,0.49331
0.081757-0.21249i,0.081757+0.21249i,0.58564+0i
-0.94315+0i,0.32952-0.29843i,0.32952+0.29843i
-0.69153+0i,-0.20307-0.49528i,-0.20307+0.49528i
-0.82404+0i,0.60021-0.13713i,0.60021+0.13713i
0.8956+0i,-0.20047-0.15385i,-0.20047+0.15385i
0.75502+0i,-0.65649-0.40096i,-0.65649+0.40096i
-0.43133-0.81286i,-0.43133+0.81286i,0.50183+0i
0.42077-0.7159i,0.42077+0.7159i,-0.16452+0i
-0.14453+0i,0.63084-0.18866i,0.63084+0.18866i
-0.043471+0i,0.69008-0.27353i,0.69008+0.27353i
-0.59426+0i,0.011312-0.4919i,0.011312+0.4919i
-0.5293-0.73781i,-0.5293+0.73781i,0.42792+0i
-0.7931+0i,0.76213-0.2411i,0.76213+0.2411i
0.17967-0.77713i,0.17967+0.77713i,-0.95208+0i
-0.22615-0.19807i,-0.22615+0.19807i,-0.52584+0i
-0.94125,-0.12919,0.731
-0.49174+0i,0.45728-0.3975i,0.45728+0.3975i
0.086069-0.26744i,0.086069+0.26744i,-0.036431+0i
-0.77288+0i,0.22088-0.41234i,0.22088+0.41234i
-0.37212-0.89284i,-0.37212+0.89284i,-0.73329+0i
0.98589+0i,-0.25447-0.28363i,-0.25447+0.28363i
-0.64584+0i,0.51232-0.43474i,0.51232+0.43474i
0.28644-0.64503i,0.28644+0.64503i,-0.18463+0i
-0.12507+0i,0.1634-0.79062i,0.1634+0.79062i
-0.65366-0.59855i,-0.65366+0.59855i,-0.22918+0i
0.58593+0i,-0.34613-0.081128i,-0.34613+0.081128i
-0.1339-0.60454i,-0.1339+0.60454i,0.35466+0i
-0.16233-0.47776i,-0.16233+0.47776i,0.16667+0i
-0.54281+0i,0.56932-0.23867i,0.56932+0.23867i
-0.4993-0.83049i,-0.4993+0.83049i,-0.46816+0i
