"e","b_iqs","stable",
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1000,
2.6,1,1000,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1000,
2.6,1,1000,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1000,
2.6,1,1,
2.6,1,1,
2.6,1,1,
2.6,1,1,

